orbit_type,season,season_key,epoch_utc,time_s,in_eclipse,+X_direct,+X_albedo,+X_ir,+X,-X_direct,-X_albedo,-X_ir,-X,+Y_direct,+Y_albedo,+Y_ir,+Y,-Y_direct,-Y_albedo,-Y_ir,-Y,+Z_direct,+Z_albedo,+Z_ir,+Z,-Z_direct,-Z_albedo,-Z_ir,-Z
dawn_dusk,夏至,summer,2026-06-21T00:00:00+00:00,0.0,False,73.40453934540307,2.8609626543450644e-19,1.897899021251265e-18,73.40453934540307,0.0,0.0,0.0,0.0,0.0,2.734782835199345e-18,1.8141941344032595e-17,2.087672417923194e-17,262.11564929147056,0.0,0.0,262.11564929147056,9.491250967131477e-14,8.49319408780215,56.34196140958284,64.83515549738507,0.0,0.0,0.0,0.0
dawn_dusk,夏至,summer,2026-06-21T00:00:30+00:00,30.0,False,73.36579426887486,0.0,0.0,73.36579426887486,0.0,7.582699168163452e-17,5.0301940529855185e-16,5.788463969801864e-16,0.0,7.747153337852636e-18,5.1392892930858267e-17,5.914004626871091e-17,262.11564929147056,0.0,0.0,262.11564929147056,0.0,8.493194087802143,56.34196140958283,64.83515549738497,2.384665135392305,0.0,0.0,2.384665135392305
dawn_dusk,夏至,summer,2026-06-21T00:01:00+00:00,60.0,False,73.24959994087394,0.0,0.0,73.24959994087394,0.0,2.940403571675363e-16,1.9505983597132677e-15,2.244638716880804e-15,0.0,2.0772706928380728e-17,1.378015196676459e-16,1.5857422659602662e-16,262.11564929147056,0.0,0.0,262.11564929147056,0.0,8.493194087802143,56.34196140958284,64.83515549738497,4.766812877882608,0.0,0.0,4.766812877882608
dawn_dusk,夏至,summer,2026-06-21T00:01:30+00:00,90.0,False,73.0560790229733,0.0,0.0,73.0560790229733,0.0,3.174486347765828e-17,2.1058836693481726e-16,2.4233323041247554e-16,0.0,2.8235232988637213e-17,1.8730625851599374e-16,2.1554149150463096e-16,262.11564929147056,0.0,0.0,262.11564929147056,0.0,8.493194087802143,56.34196140958284,64.83515549738497,7.143928492076862,0.0,0.0,7.143928492076862
dawn_dusk,夏至,summer,2026-06-21T00:02:00+00:00,120.0,False,72.78543580724644,0.0,0.0,72.78543580724644,0.0,6.644746567434557e-16,4.407977149804389e-15,5.072451806547845e-15,0.0,5.892540040338641e-17,3.908980062447803e-16,4.498234066481668e-16,262.11564929147056,0.0,0.0,262.11564929147056,0.0,8.493194087802143,56.34196140958284,64.83515549738497,9.513502554791984,0.0,0.0,9.513502554791984
dawn_dusk,夏至,summer,2026-06-21T00:02:30+00:00,150.0,False,72.43795600060466,0.0,0.0,72.43795600060466,0.0,4.975557874216363e-16,3.300674479379388e-15,3.798230266801025e-15,0.0,4.5253391308149083e-17,3.0020093740684613e-16,3.454543287149952e-16,262.11564929147056,0.0,0.0,262.11564929147056,0.0,8.493194087802143,56.34196140958283,64.83515549738497,11.873033604150612,0.0,0.0,11.873033604150612
dawn_dusk,夏至,summer,2026-06-21T00:03:00+00:00,180.0,False,72.01400642318798,0.0,0.0,72.01400642318798,0.0,2.4484130359374294e-16,1.6242227760181126e-15,1.8690640796118557e-15,0.0,6.379871897753329e-17,4.2322651825129684e-16,4.870252372288302e-16,262.11564929147056,0.0,0.0,262.11564929147056,0.0,8.493194087802143,56.34196140958284,64.83515549738497,14.220030780271504,0.0,0.0,14.220030780271504
dawn_dusk,夏至,summer,2026-06-21T00:03:30+00:00,210.0,False,71.51403462112819,0.0,0.0,71.51403462112819,0.0,7.612784781817967e-16,5.050152180234026e-15,5.811430658415823e-15,0.0,9.477031868255768e-18,6.286852252270019e-17,7.234555439095596e-17,262.11564929147056,0.0,0.0,262.11564929147056,0.0,8.493194087802143,56.34196140958284,64.83515549738497,16.552016454767877,0.0,0.0,16.552016454767877
dawn_dusk,夏至,summer,2026-06-21T00:04:00+00:00,240.0,False,70.93856839409288,0.0,0.0,70.93856839409288,0.0,4.185695319424941e-16,2.7766972204015575e-15,3.1952667523440514e-15,0.0,5.2333490737887824e-17,3.471687430077161e-16,3.9950223374560395e-16,262.11564929147056,0.0,0.0,262.11564929147056,0.0,8.493194087802147,56.34196140958285,64.835155497385,18.8665288462778,0.0,0.0,18.8665288462778
dawn_dusk,夏至,summer,2026-06-21T00:04:30+00:00,270.0,False,70.28821523810903,0.0,0.0,70.28821523810903,0.0,8.684147566566796e-16,5.760870433578479e-15,6.629285190235159e-15,0.0,5.974326353137831e-17,3.9632352841220853e-16,4.560667919435868e-16,262.11564929147056,0.0,0.0,262.11564929147056,0.0,8.493194087802143,56.34196140958284,64.83515549738497,21.16112461926551,0.0,0.0,21.16112461926551
